model_name,demand_segment,row_count,actual_sum,predicted_sum,mae,rmse,wape,bias,p90_abs_error
hist_gradient_boosting_squared,all,196000,499059.0,481830.83843385935,1.3373706491284696,2.445950468100246,0.5252377919828718,-0.08789878350071774,2.569134198813669
hist_gradient_boosting_poisson,all,196000,499059.0,468445.64528898656,1.3434823570007979,2.4659502958400643,0.5276380988463416,-0.15619058526027266,2.5694088411764007
baseline_ma_28d,all,196000,499059.0,488909.5714285715,1.3451027696793003,2.4812576420338948,0.5282744983201242,-0.05178279883381924,2.6428571428571423
baseline_ma_7d,all,196000,499059.0,498445.85714285716,1.3950699708454812,2.606561698875707,0.5478985736871078,-0.003128279883381951,2.7142857142857144
xgboost_poisson,all,196000,499059.0,437958.19505393505,1.4006997674204866,2.69883153203008,0.550109615124495,-0.3117388007452293,2.6171004295349127
baseline_lag_7,all,196000,499059.0,497546.0,1.7159438775510205,3.431321070042016,0.6739183142674513,-0.007719387755102041,3.0
hist_gradient_boosting_squared,high,189309,494324.0,477529.397706526,1.3593963518028995,2.4836510680515516,0.5206017995554638,-0.08871528714151997,2.8196656017857116
hist_gradient_boosting_poisson,high,189309,494324.0,464369.6355481079,1.365677162280165,2.5039910349303827,0.5230071327997341,-0.1582300072996639,2.819000690405197
baseline_ma_28d,high,189309,494324.0,486524.9642857143,1.3674746050108553,2.518824941284549,0.5236954912162873,-0.04119738477455226,2.821428571428571
baseline_ma_7d,high,189309,494324.0,495888.2857142857,1.4192895515495074,2.646469257819898,0.5435388241604406,0.008263134421954102,2.8571428571428577
xgboost_poisson,high,189309,494324.0,432360.9264124632,1.4248646620953893,2.7413804543023153,0.5456738987316336,-0.32731182134783243,2.9458320617675855
baseline_lag_7,high,189309,494324.0,494995.0,1.749969626378038,3.4852960126587416,0.6701778590560038,0.0035444696237368536,3.0
baseline_ma_7d,medium,6691,4735.0,2557.5714285714284,0.7098234301940772,0.9289380124212914,1.0030472167747773,-0.32542647906569594,1.7142857142857144
baseline_ma_28d,medium,6691,4735.0,2384.607142857142,0.7121346371458462,0.9176484321831999,1.0063131694071503,-0.35127676836688954,1.6428571428571428
hist_gradient_boosting_squared,medium,6691,4735.0,4301.440727333329,0.7141956756426385,0.8511373840231711,1.0092256105015616,-0.06479738046131675,1.3444180210592815
hist_gradient_boosting_poisson,medium,6691,4735.0,4076.009740878633,0.7155229499418072,0.855461440722041,1.0111011738248432,-0.09848905382175567,1.3924507411839322
xgboost_poisson,medium,6691,4735.0,5597.268641471863,0.7170004629800181,0.8570568505945156,1.013189038605977,0.12886992100909622,1.1739879250526428
baseline_lag_7,medium,6691,4735.0,2551.0,0.7532506351815872,1.100671660813093,1.06441393875396,-0.3264086085786878,2.0
